name,rating,categories,address,zip_code,doordash_url,google_maps_url,embedding_text
"Le Fournil - French Bakery, Café, Catering and Wholesale",4.4,"Bakery, Cafe, Store","3230 Eastlake Avenue East Ste A, Seattle",98105,https://www.doordash.com/store-search/?query=Le+Fournil+-+French+Bakery%2C+Caf%C3%A9%2C+Catering+and+Wholesale+98105,https://www.google.com/maps/place/?q=place_id:ChIJn7QZqPoUkFQR66Ie5FUD9tw,"Le Fournil - French Bakery, Café, Catering and Wholesale. Category: Bakery, Cafe, Store. Located at 3230 Eastlake Avenue East Ste A, Seattle. Rated 4.4 stars."
Bengal Tiger Cuisine Of India,4.1,Restaurant,"6509 Roosevelt Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Bengal+Tiger+Cuisine+Of+India+98105,https://www.google.com/maps/place/?q=place_id:ChIJFf8tM24UkFQRf1Cb85qoye4,"Bengal Tiger Cuisine Of India. Category: Restaurant. Located at 6509 Roosevelt Way Northeast, Seattle. Rated 4.1 stars."
Pi Vegan Pizzeria,4.7,Restaurant,"5301 Roosevelt Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Pi+Vegan+Pizzeria+98105,https://www.google.com/maps/place/?q=place_id:ChIJHTmPkmMUkFQRRZ9H9kclNqw,"Pi Vegan Pizzeria. Category: Restaurant. Located at 5301 Roosevelt Way Northeast, Seattle. Rated 4.7 stars."
The Harvest Vine,4.6,Bar,"2701 East Madison Street, Seattle",98105,https://www.doordash.com/store-search/?query=The+Harvest+Vine+98105,https://www.google.com/maps/place/?q=place_id:ChIJeSiRdCtrkFQRJ3TrP453MpE,"The Harvest Vine. Category: Bar. Located at 2701 East Madison Street, Seattle. Rated 4.6 stars."
Sushi Kappo Tamura,4.6,Bar,"2968 Eastlake Avenue East, Seattle",98105,https://www.doordash.com/store-search/?query=Sushi+Kappo+Tamura+98105,https://www.google.com/maps/place/?q=place_id:ChIJd1iy3uQUkFQRe6Yz_UHNbKI,"Sushi Kappo Tamura. Category: Bar. Located at 2968 Eastlake Avenue East, Seattle. Rated 4.6 stars."
Wedgwood Public house,4.3,Bar,"8515 35th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Wedgwood+Public+house+98105,https://www.google.com/maps/place/?q=place_id:ChIJn8hBPZMTkFQRcIzeiopC1OE,"Wedgwood Public house. Category: Bar. Located at 8515 35th Avenue Northeast, Seattle. Rated 4.3 stars."
Chiang's Gourmet,4.4,Restaurant,"7845 Lake City Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Chiang%27s+Gourmet+98105,https://www.google.com/maps/place/?q=place_id:ChIJ_-VzJwsUkFQRg_p19UuEKJo,"Chiang's Gourmet. Category: Restaurant. Located at 7845 Lake City Way Northeast, Seattle. Rated 4.4 stars."
Die Bierstube,4.6,Restaurant,"6106 Roosevelt Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Die+Bierstube+98105,https://www.google.com/maps/place/?q=place_id:ChIJj3a0hWUUkFQRV2891WOLYCE,"Die Bierstube. Category: Restaurant. Located at 6106 Roosevelt Way Northeast, Seattle. Rated 4.6 stars."
Persepolis Grill,4.4,Restaurant,"5517 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Persepolis+Grill+98105,https://www.google.com/maps/place/?q=place_id:ChIJreHIi2MUkFQRmLuDRShRH0I,"Persepolis Grill. Category: Restaurant. Located at 5517 University Way Northeast, Seattle. Rated 4.4 stars."
Subway,4.0,Meal Takeaway,"8014 Lake City Way Northeast Suite C, Seattle",98105,https://www.doordash.com/store-search/?query=Subway+98105,https://www.google.com/maps/place/?q=place_id:ChIJZ9AfvwoUkFQRXouLVGWqHsc,"Subway. Category: Meal Takeaway. Located at 8014 Lake City Way Northeast Suite C, Seattle. Rated 4 stars."
Starbucks,4.1,"Cafe, Store","7100 East Green Lake Drive North, Seattle",98105,https://www.doordash.com/store-search/?query=Starbucks+98105,https://www.google.com/maps/place/?q=place_id:ChIJS3ez42wUkFQRheIK9YZUs1U,"Starbucks. Category: Cafe, Store. Located at 7100 East Green Lake Drive North, Seattle. Rated 4.1 stars."
Varlamos Pizzeria,4.6,"Meal Delivery, Night Club, Store","3617 Northeast 45th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Varlamos+Pizzeria+98105,https://www.google.com/maps/place/?q=place_id:ChIJETodsYQUkFQR4fHu7oHT4Lc,"Varlamos Pizzeria. Category: Meal Delivery, Night Club, Store. Located at 3617 Northeast 45th Street, Seattle. Rated 4.6 stars."
Cactus Kirkland,4.5,Restaurant,"121 Park Lane, Kirkland",98105,https://www.doordash.com/store-search/?query=Cactus+Kirkland+98105,https://www.google.com/maps/place/?q=place_id:ChIJCeaTgucSkFQRLiE39IOBdPI,"Cactus Kirkland. Category: Restaurant. Located at 121 Park Lane, Kirkland. Rated 4.5 stars."
