name,category,rating,address,zip_code,description,doordash_url
Chili's South Indian Cuisine,South Indian,4.1,4220 University Wy NE,98105,South Indian rated 4.1/5 located at 4220 University Wy NE (ZIP 98105).,https://www.doordash.com/business/jewel-of-india-534906?srsltid=AfmBOorAYUWh6KF4hPmlnRzsFx2AcfURP5zhiTdQzRLydggLwuofsFEk
Saigon Deli,Vietnamese,4.5,4142 Brooklyn Ave NE,98105,Vietnamese rated 4.5/5 located at 4142 Brooklyn Ave NE (ZIP 98105).,https://www.doordash.com/business/elemental-pizza-24433/?srsltid=AfmBOopzsvSHVwPmTD6SKEjHvzh_1qUAttl1BXmIOh-vSxcNOFDKkbkD
Palmi Korean BBQ,Korean BBQ,3.9,4538 University Wy NE,98105,Korean BBQ rated 3.9/5 located at 4538 University Wy NE (ZIP 98105).,https://www.doordash.com/store/eggs-by-fomo-cafe-25005156/?srsltid=AfmBOoos4L7bCO5ZFYAH5gy_uIbkvtJC1KU4AEHywJ5HeJoReMJTmD5G
Tig Kitchen and Bar,Restaurant,3.9,5240 University Wy NE,98105,Restaurant rated 3.9/5 located at 5240 University Wy NE (ZIP 98105).,https://www.doordash.com/business/toshi%27s-teriyaki-15745/menu/?srsltid=AfmBOoqL-qIgKq_vhdFITTZIblj_u7AidmDdn08OXLDXtdjvQE1r64di
Marlai Thai Cuisine,Thai,4.0,3719 NE 45th St,98105,Thai rated 4.0/5 located at 3719 NE 45th St (ZIP 98105).,https://www.doordash.com/store/larks-&-sons-bbq-benton-harbor-632079/?srsltid=AfmBOor3dxMghvY_rzAPn1wizeGzDDaTqKrtX0w1f8gSMbN_zPYweEky
Thai 65,Thai,3.5,4214 University Wy NE,98105,Thai rated 3.5/5 located at 4214 University Wy NE (ZIP 98105).,https://www.doordash.com/business/poke-bay-11654469/menu?srsltid=AfmBOopUpkVA45DCVTJg32UsR07oTKnV9S1zzU_IGOKR2qNrQQLT9qK3
Ugly Mug Cafe,Cafe,4.6,1309 NE 43rd St,98105,Cafe rated 4.6/5 located at 1309 NE 43rd St (ZIP 98105).,https://www.doordash.com/store/mr.-gyros-palm-beach-gardens-1832726/?srsltid=AfmBOope7gxhn-jF1FObhaA0bvP7iQMK07GAFT822N-p_lKfO4BJwGF1
El Camion,Mexican,4.4,4529 Sand Point Way NE,98105,Mexican rated 4.4/5 located at 4529 Sand Point Way NE (ZIP 98105).,https://www.doordash.com/food-delivery/orlando-fl-restaurants/acai/?srsltid=AfmBOopsGl4Mquj2UPDSEdxTR6Rj_M_z0tqXxhtKGsxGbAQ0UPh54_7x
Sandia,Mexican,4.1,3600 NE 45th St,98105,Mexican rated 4.1/5 located at 3600 NE 45th St (ZIP 98105).,https://www.doordash.com/store/my-favorite-deli-york-408470/?srsltid=AfmBOoqyy8hCJ3DlSkTykxPlkuKiWZhuhAKVMuVDbsvYd_7gX3aizdHw
Memos Mexican Restaurant,Mexican,3.7,4743 University Wy NE,98105,Mexican rated 3.7/5 located at 4743 University Wy NE (ZIP 98105).,https://www.doordash.com/en/food-delivery/kawartha-lakes-on-restaurants/breakfast/?srsltid=AfmBOoq0JDDB0OhCD64d_Dpcdyv0OlJ84D6c6mm0sRbPKRMND5-Y6bGu
The Rotunda,Restaurant,3.5,1959 NE Pacific St,98105,Restaurant rated 3.5/5 located at 1959 NE Pacific St (ZIP 98105).,https://www.doordash.com/store/chipotle-mexican-grill-tustin-272621%2C833439/?srsltid=AfmBOootrk_kyuDGDa1FItuUvE1_PPROGGwxLPmiG51Y5LCu-BwUz9pu
Pho Than Brothers,Pho,4.1,4207 University Wy NE,98105,Pho rated 4.1/5 located at 4207 University Wy NE (ZIP 98105).,https://www.doordash.com/store/healthy-&-happy-cafe-miami-474222/600665/?srsltid=AfmBOoruV6eZLGQpUfv2GhVJ-gXnZx7R1kVtLgLS1UC09PqN7WW179Bz
A-Pizza Mart Bar & Grill,Pizza,4.0,5240 University Wy NE ste d,98105,Pizza rated 4.0/5 located at 5240 University Wy NE ste d (ZIP 98105).,https://www.doordash.com/business/carmelos-tacos-418994/?srsltid=AfmBOoq-14IFZoL-kERim-L2wiECpombD7birNIGOtv8U76hxsdggKXz
